"Latitude","Longitude","UTC","Pollutant","AQI","Category","Location","ReportingAgency","StationID","FullStationID"
"50.018425","-125.2484","2021-10-20T20:00","PM2.5","33","1","Elk Falls Dogwood","British Columbia Ministry of Environment","000102801","124000102801"
"49.261014","-124.806628","2021-10-20T20:00","PM2.5","57","2","Port Alberni Elementary","British Columbia Ministry of Environment","000102602","124000102602"
"48.2867","-124.6203","2021-10-20T20:00","PM2.5","0","1","Cheeka Peak","Washington Department of Ecology","530090013","840530090013"
"48.366058","-124.610046","2021-10-20T20:00","PM2.5","8","1","Neah Bay 2-Makah Tribe","Washington Department of Ecology","530090015","840530090015"
"49.889299","-124.5624","2021-10-20T20:00","PM2.5","18","1","Powell River James T","British Columbia Ministry of Environment","000102303","124000102303"
"42.054597","-124.276768","2021-10-20T20:00","PM2.5","28","1","Brookings CPFA","Oregon Dept. of Environmental Quality","840410150002","840410150002"
"43.381943","-124.263885","2021-10-20T20:00","PM2.5","31","1","CTCLUSI Radar Hill-OR","Quality Review and Exchange System for Tribes (QREST)","410111036","840410111036"
"43.362575","-124.218856","2021-10-20T20:00","PM2.5","44","1","Coos Bay Marshfield HS","Oregon Dept. of Environmental Quality","840410110003","840410110003"
"40.776943","-124.177498","2021-10-20T20:00","PM10","9","1","Jacobs","North Coast Unified Air Quality Management District","060231004","840060231004"
"43.989643","-124.109312","2021-10-20T20:00","PM2.5","18","1","Florence-Department of Forestry","Lane Regional Air Protection Agency","840410390100","840410390100"
"49.20083","-123.99389","2021-10-20T20:00","PM2.5","33","1","Nanaimo Labieux Road","British Columbia Ministry of Environment","000102102","124000102102"
"46.9772","-123.8317","2021-10-20T20:00","PM2.5","14","1","Aberdeen-Division St","Washington Department of Ecology","530272002","840530272002"
"45.457347","-123.802809","2021-10-20T20:00","PM2.5","59","2","Tillamook Forestry Dept","Oregon Dept. of Environmental Quality","840410570001","840410570001"
"39.43734","-123.78766","2021-10-20T20:00","PM10","3","1","Fort Bragg High School","Mendocino County AQMD","060450010","840060450010"
"46.688218","-123.731764","2021-10-20T20:00","PM2.5","64","2","Raymond-4th St","Washington Department of Ecology","840530499998","840530499998"
"48.786114","-123.717307","2021-10-20T20:00","PM2.5","50","1","Duncan College Street","British Columbia Ministry of Environment","000104804","124000104804"
"42.1617","-123.64835","2021-10-20T20:00","PM2.5","15","1","Cave Junction Forest Service","Oregon Dept. of Environmental Quality","410330036","840410330036"
"48.42389","-123.49278","2021-10-20T20:00","PM2.5","29","1","Colwood City Hall","British Columbia Ministry of Environment","000100308","124000100308"
"48.115","-123.436434","2021-10-20T20:00","PM2.5","31","1","Port Angeles-E 5th St","Washington Department of Ecology","530090017","840530090017"
"43.152911","-123.382212","2021-10-20T20:00","PM2.5","9","1","Roseburg Fire Dept","Oregon Dept. of Environmental Quality","840410190004","840410190004"
"43.2266","-123.36479","2021-10-20T20:00","PM2.5","14","1","Roseburg - Garden Valley Blvd.","Oregon Dept. of Environmental Quality","410190002","840410190002"
